+------------+------------+----------+------------------+-------------------+----------------------+
| Audio name | Frame rate | Channels | Bytes per sample | Maximum amplitude | length of audio file |
| Various-14 | 22050      | 1        | 1                | 118               | 2880                 |
| Various-15 | 11025      | 1        | 1                | 128               | 1407                 |
| Various-16 | 11025      | 1        | 1                | 128               | 1486                 |
| Vehicle-07 | 8000       | 1        | 1                | 124               | 2245                 |
| Vehicle-08 | 11025      | 1        | 1                | 128               | 4756                 |
| Vehicle-09 | 8000       | 1        | 1                | 128               | 2910                 |
| Vehicle-10 | 8000       | 1        | 1                | 69                | 8466                 |
| Vehicle-11 | 8000       | 1        | 1                | 41                | 3025                 |
| Vehicle-14 | 8000       | 1        | 1                | 128               | 3455                 |
+------------+------------+----------+------------------+-------------------+----------------------+
